용어,원래 의미,뜻,사용 예시
그로스해킹(Growth Hacking),Growth Hacking,빠른 성장을 위한 데이터 기반 마케팅,이번 캠페인은 그로스해킹하게 접근해서 숫자로 성과를 확인해봅시다.
깃타(Git 타다),Git,Git에 코드 커밋하고 푸시하는 행위,수정한 코드 확인했으니 지금 바로 깃타하고 PR 올려주세요.
데드라인(Deadline),Deadline,마감 기한,이 작업 데드라인이 금요일이라 오늘 안에 초안까지는 끝내야 해요.
데분 (Data Analyst),Data Analyst,데이터 분석가,이번 리포트는 데분이 먼저 데이터를 정리한 뒤 공유하기로 했어요.
데싸 (Data Scientist),Data Scientist,데이터 사이언티스트,추천 모델 성능 개선은 데싸가 실험을 주도하고 있어요.
데엔 (Data Engineer),Data Engineer,데이터 엔지니어,로그 파이프라인 이슈는 데엔이 먼저 확인해보기로 했어요.
데이터 드리븐(Data-driven),Data-driven,데이터 기반 의사결정 방식,이번 캠페인은 데이터 드리븐하게 접근해서 숫자로 성과를 확인해봅시다.
데일리 스크럼 (Daily Scrum),Daily + Scrum,매일 하는 업무 공유 회의,오늘 데일리 스크럼에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
듀데잇 (Due Date),Due Date,마감 기한,이 작업 듀데잇이 금요일이라 오늘 안에 초안까지는 끝내야 해요.
드롭( Drop),Drop,프로젝트나 기능을 포기하는 결정,상황 봐서 드롭도 열어두고 유연하게 판단합시다.
드릴다운(Drill Down),Drill Down,특정 문제를 깊이 분석하는 과정,본격적으로 실행하기 전에 드릴다운 단계에서 문제를 먼저 확인해봐요.
디벨롭(Develop),Develop,개발,이번 주에는 디벨롭 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
디스커버리(Discovery),Discovery,문제 해결을 위한 탐색 과정,본격적으로 실행하기 전에 디스커버리 단계에서 문제를 먼저 확인해봐요.
디스커션(Discussion),Discussion,"논의, 토론",회의 전에 디스커션부터 해두면 의사결정이 훨씬 빨라져요.
디시전 메이킹(Decision Making),Decision Making,의사결정 과정,회의 전에 디시전 메이킹부터 해두면 의사결정이 훨씬 빨라져요.
디자인 시스템(Design System),Design System,일관된 디자인을 위한 시스템,개발 들어가기 전에 디자인 시스템 기준부터 팀 내에서 통일해두는 게 좋아요.
디자인 크리틱(Design Critique),Design Critique,디자인 피드백 및 개선 회의,오늘 디자인 크리틱에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
디펜던시(Dependency),Dependency,특정 작업이 다른 작업에 영향을 미치는 관계,이번 주에는 디펜던시 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
딜소싱(Deal Sourcing),Deal Sourcing,투자할 기업을 발굴하는 과정,투자 검토 전에 딜소싱 관련 수치와 가정을 먼저 확인해야 해요.
락앤(Lock and),Lock and,"확정, 고정",이번 주에는 락앤 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
러닝 커브(Learning Curve),Learning Curve,"업무 적응 속도, 배움의 곡선",요즘 팀에서 러닝 커브를 중요하게 보고 있어서 관련 피드백이 자주 나와요.
러프하다(Rough 하다),Rough,대략적으로 계획,이번 주에는 러프하다 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
레거시(Legacy),Legacy System,오래된 시스템 또는 코드,이번 주에는 레거시 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
레슨런 (Lessons Learned),Lessons Learned,"일하면서 배운 점, 교훈",프로젝트 끝나면 레슨런까지 정리해야 다음에 같은 실수를 줄일 수 있어요.
로깅(Logging),Logging,시스템 활동 기록,개발 들어가기 전에 로깅 기준부터 팀 내에서 통일해두는 게 좋아요.
로드맵(Roadmap),Roadmap,장기적인 일정 및 계획,다음 분기 로드맵 먼저 맞춰야 일정이 밀리지 않아요.
로우행잉 프룻(Low-hanging fruit),Low-hanging fruit,쉽게 성과를 낼 수 있는 목표,이번 주에는 로우행잉 프룻 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
롤백(Rollback),Rollback,변경된 사항을 되돌리는 작업,작업 끝나면 롤백 관련 내용까지 정리해서 개발 채널에 공유해주세요.
리드타임(Lead Time),Lead Time,작업을 시작해서 완료하기까지 걸리는 시간,지금은 리드타임를 줄이는 게 전체 일정 관리의 핵심이에요.
리셀(Re-sell),Re-sell,사내에서 재조정된 기획이나 아이디어,이번 주에는 리셀 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
리소스 풀링 (Resource Pooling),Resource Pooling,여러 팀의 자원 통합 운영,지금 팀 리소스 풀링 상황을 보면 우선순위 조정이 먼저 필요해요.
리소스(Resource),Resource,"업무 여력, 가용 인력 및 자원",지금 팀 리소스 상황을 보면 우선순위 조정이 먼저 필요해요.
리스크 어세스먼트(Risk Assessment),Risk Assessment,리스크 평가 및 분석,예상 못 한 상황에 대비해서 리스크 어세스먼트 관점으로 한 번 더 점검해봅시다.
리스크 헷징(Hedging),Hedging,리스크 관리,예상 못 한 상황에 대비해서 리스크 헷징 관점으로 한 번 더 점검해봅시다.
리텐션 분석 (Retention Analysis),Retention Analysis,일정 기간 후 제품을 다시 사용하는 사용자 비율 분석,이번 기능은 리텐션 분석 데이터를 보고 나서 다음 액션을 결정합시다.
리팩토링(Refactoring),Refactoring,코드 구조 개선,작업 끝나면 리팩토링 관련 내용까지 정리해서 개발 채널에 공유해주세요.
리프라이어리타이제이션(Reprioritization),Reprioritization,업무 우선순위 재조정,이번 주에는 리프라이어리타이제이션 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
릴리즈(Release),Release,소프트웨어 정식 배포,작업 끝나면 릴리즈 관련 내용까지 정리해서 개발 채널에 공유해주세요.
마일스톤(Milestone),Milestone,프로젝트 주요 목표,다음 분기 마일스톤 먼저 맞춰야 일정이 밀리지 않아요.
매리지 체크(Marriage Check),Marriage Check,회사와 장기적 궁합 확인,요즘 팀에서 매리지 체크를 중요하게 보고 있어서 관련 피드백이 자주 나와요.
머지(Merge),Merge,분기된 코드 합치기,작업 끝나면 머지 관련 내용까지 정리해서 개발 채널에 공유해주세요.
멀티 트랙 (Multi Track),Multi Track,여러 개의 업무를 동시에 진행,지금 팀 멀티 트랙 상황을 보면 우선순위 조정이 먼저 필요해요.
메이크업(Make Up),Make Up,보완 작업,이번 주에는 메이크업 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
메컵(Make up),Make up,보완 작업,이번 주에는 메컵 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
멘탈 케어(Mental Care),Mental Care,팀원들의 심리적 건강 관리,요즘 팀에서 멘탈 케어를 중요하게 보고 있어서 관련 피드백이 자주 나와요.
모크업(Mock-up),Mock-up,실제처럼 만든 디자인 시안,우선 모크업 수준으로 빠르게 만들어보고 반응을 확인합시다.
뭉개다,속어,결정을 미루거나 제대로 진행하지 않음,이 이슈 계속 뭉개지 말고 오늘 안에 담당자 정해서 처리합시다.
바텀업(Bottom-Up),Bottom-Up,하위 단계부터 접근하는 방식,이번 주에는 바텀업 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
배포(Deploy),Deploy,"서비스 출시, 코드 배포",작업 끝나면 배포 관련 내용까지 정리해서 개발 채널에 공유해주세요.
백브리핑(Back Briefing),Back Briefing,보고받은 내용을 다시 정리해 상사에게 설명하는 과정,회의 전에 백브리핑부터 해두면 의사결정이 훨씬 빨라져요.
밸류에이션(Valuation),Valuation,기업 가치 평가,투자 검토 전에 밸류에이션 관련 수치와 가정을 먼저 확인해야 해요.
부트업 (Boot-up),Boot-up,새로운 프로젝트나 조직 세팅,새 프로젝트 초반에는 부트업이 중요해서 소통 빈도를 더 높일 거예요.
브랜치(Branch),Branch,버전 관리에서 분기된 작업 공간,작업 끝나면 브랜치 관련 내용까지 정리해서 개발 채널에 공유해주세요.
브레이크 다운(Break Down),Break Down,예산 세부 분석,본격적으로 실행하기 전에 브레이크 다운 단계에서 문제를 먼저 확인해봐요.
브릿지 펀딩(Bridge Funding),Bridge Funding,다음 투자 라운드 전까지 운영을 위한 임시 자금 조달,투자 검토 전에 브릿지 펀딩 관련 수치와 가정을 먼저 확인해야 해요.
서빙(Serving),Serving,AI/ML 모델을 실제 서비스에 배포하는 과정,이번 주에는 서빙 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
세커티(Security),Security,보안,개발 들어가기 전에 세커티 기준부터 팀 내에서 통일해두는 게 좋아요.
소프트 데드라인(Soft Deadline),Soft Deadline,조정이 가능한 마감 기한,이 작업 소프트 데드라인이 금요일이라 오늘 안에 초안까지는 끝내야 해요.
스몰윈(Small Win),Small Win,작은 성공을 쌓아가며 리스크를 줄이는 전략,상황 봐서 스몰윈도 열어두고 유연하게 판단합시다.
스케줄링(Scheduling),Scheduling,일정 조정 및 계획 수립,다음 분기 스케줄링 먼저 맞춰야 일정이 밀리지 않아요.
스코프(Scope),Scope,프로젝트의 범위,이번 주에는 스코프 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
스크럼 미팅(Scrum Meeting),Scrum Meeting,애자일 방식의 짧고 집중적인 팀 회의,오늘 스크럼 미팅에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
스크럼(Scrum),Scrum,애자일(Agile) 개발 방식의 한 형태,오늘 스크럼에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
스타일가이드(Style Guide),Style Guide,디자인 및 브랜드 가이드라인,개발 들어가기 전에 스타일가이드 기준부터 팀 내에서 통일해두는 게 좋아요.
스탠스(Stance),Stance,"입장, 태도",회의 전에 스탠스부터 해두면 의사결정이 훨씬 빨라져요.
스토리보딩(Storyboarding),Storyboarding,제품 기획을 위한 시각적 스토리 구성,본격적으로 실행하기 전에 스토리보딩 단계에서 문제를 먼저 확인해봐요.
스펙 아웃(Spec Out),Spec Out,특정 기능 제외,우선 스펙 아웃 수준으로 빠르게 만들어보고 반응을 확인합시다.
스프린트(Sprint),Sprint,애자일 개발에서 일정 기간 동안 집중적으로 진행하는 작업,다음 분기 스프린트 먼저 맞춰야 일정이 밀리지 않아요.
슬랙 (Slack),Slack,업무용 메신져,관련 히스토리는 슬랙 해보면 금방 찾을 수 있을 거예요.
슬랙 털기 (Slack 털기),Slack + 검색,슬랙에서 과거 대화 기록을 검색해 필요한 정보를 찾는 행위,관련 히스토리는 슬랙 털기 해보면 금방 찾을 수 있을 거예요.
슬롯(Slot),Slot,미팅이나 일정에서 확보된 시간,이번 주에는 슬롯 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
시나리오 플래닝(Scenario Planning),Scenario Planning,다양한 상황을 가정하여 사전 대비하는 전략,예상 못 한 상황에 대비해서 시나리오 플래닝 관점으로 한 번 더 점검해봅시다.
시드(Seed),Seed Investment,초기 투자 단계,투자 검토 전에 시드 관련 수치와 가정을 먼저 확인해야 해요.
시리즈 A/B/C,Series A/B/C,스타트업 성장 단계별 투자 라운드,투자 검토 전에 시리즈 A/B/C 관련 수치와 가정을 먼저 확인해야 해요.
싱크 맞추기(Sync),Sync,의견 조율,회의 전에 싱크 맞추기부터 해두면 의사결정이 훨씬 빨라져요.
씨레벨 (C-Level),Chief Level,"CEO, CTO, CFO, COO 등 경영진을 통칭하는 말",이 안건은 씨레벨 보고 전에 한 번 더 정리해두는 게 좋겠어요.
알라인(Align),Align,목표나 방향을 조정하는 과정,회의 전에 알라인부터 해두면 의사결정이 훨씬 빨라져요.
알잘딱깔센,"""알아서 잘, 딱, 깔끔하고 센스 있게""",센스 있게 일처리하는 태도,"이건 설명 길게 안 할게요, 그냥 알잘딱깔센으로 처리해주시면 됩니다."
애널리틱스(Analytics),Analytics,데이터 분석을 통한 의사결정,이번 기능은 애널리틱스 데이터를 보고 나서 다음 액션을 결정합시다.
애드혹(Ad-hoc),Ad-hoc,즉흥적이거나 필요할 때마다 수행하는 업무,이번 주에는 애드혹 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
애자일 플래닝(Agile Planning),Agile Planning,유연하게 일정 조정이 가능한 방식,다음 분기 애자일 플래닝 먼저 맞춰야 일정이 밀리지 않아요.
애티튜드(Attitude),Attitude,업무 스타일,요즘 팀에서 애티튜드를 중요하게 보고 있어서 관련 피드백이 자주 나와요.
어레인지(Arrange),Arrange,일정 조정 및 세팅,이번 주에는 어레인지 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
어사인(Assign),Assign,업무 할당,지금 팀 어사인 상황을 보면 우선순위 조정이 먼저 필요해요.
얼터안(Alter 안),Alter + 안(),원안과 비교되는 변경안,우선 얼터안 수준으로 빠르게 만들어보고 반응을 확인합시다.
업데이트(Update),Update,진행 상황 공유,회의 전에 업데이트부터 해두면 의사결정이 훨씬 빨라져요.
에러 리트리브 (Error Retrieve),Error + Retrieve,과거에 발생한 오류나 문제를 다시 분석하고 해결하는 과정,이번 주에는 에러 리트리브 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
에셋(Asset),Asset,"디자인에 사용되는 이미지, 아이콘 등의 자원",이번 주에는 에셋 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
에스컬레이션(Escalation),Escalation,문제를 더 높은 단계로 보고하는 과정,예상 못 한 상황에 대비해서 에스컬레이션 관점으로 한 번 더 점검해봅시다.
에지 케이스(Edge Case),Edge Case,극단적인 예외 상황,이번 주에는 에지 케이스 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
엑싯(Exit),Exit,"투자 회수, 기업 매각",투자 검토 전에 엑싯 관련 수치와 가정을 먼저 확인해야 해요.
엔드포인트(Endpoint),Endpoint,API 요청을 받는 URL,개발 들어가기 전에 엔드포인트 기준부터 팀 내에서 통일해두는 게 좋아요.
엔젤 투자(Angel Investment),Angel Investment,개인 투자자(엔젤)가 초기 기업에 투자하는 것,투자 검토 전에 엔젤 투자 관련 수치와 가정을 먼저 확인해야 해요.
오버헤드(Overhead),Overhead,추가적으로 발생하는 비용 또는 시간,지금은 오버헤드를 줄이는 게 전체 일정 관리의 핵심이에요.
"오사마리(おさまり, Osamari)",일본어 おさまり,마무리 작업,디테일은 아직 덜 됐지만 오늘 안에 오사마리까지는 해보겠습니다.
온보딩 클리어 (Onboarding Clear),Onboarding + Clear,신입사원이 조직 문화와 업무 방식에 완전히 적응한 상태,요즘 팀에서 온보딩 클리어를 중요하게 보고 있어서 관련 피드백이 자주 나와요.
올라운더(All-rounder),All-rounder,다방면에서 능력 있는 사람,요즘 팀에서 올라운더를 중요하게 보고 있어서 관련 피드백이 자주 나와요.
와이어프레임(Wireframe),Wireframe,제품의 구조적 설계도,개발 들어가기 전에 와이어프레임 기준부터 팀 내에서 통일해두는 게 좋아요.
워크로드(Workload),Workload,업무량 및 리소스 배분,지금 팀 워크로드 상황을 보면 우선순위 조정이 먼저 필요해요.
워크숍(Workshop),Workshop,팀원들이 모여 토론하며 아이디어를 정리하는 회의,오늘 워크숍에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
원온원 (1on1),One-on-One Meeting,개별 면담,오늘 원온원에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
위클리(Weekly),Weekly,주간 업무 회의,오늘 위클리에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
유저 플로우(User Flow),User Flow,사용자가 서비스를 이용하는 흐름,이번 기능은 유저 플로우 데이터를 보고 나서 다음 액션을 결정합시다.
유티 (Usablility Test),Usability Test,실제 사용자를 대상으로 하는 사용성 테스트,이번 기능은 유티 데이터를 보고 나서 다음 액션을 결정합시다.
이슈 (Issue),Issue,문제나 특정 사건,이번 주에는 이슈 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
점심메이트(Lunch Mate),Lunch Mate,점심을 같이 먹는 동료,오늘 점심메이트 구해서 근처 식당 같이 갈 사람 있나요?
제로 베이스 런 (Zero Base Run),Zero Base + Run,기존 기획이나 전략을 전부 리셋하고 완전히 새롭게 접근하는 것,상황 봐서 제로 베이스 런도 열어두고 유연하게 판단합시다.
지라 (Jira),Jira,프로젝트 및 업무 관리 툴,관련 히스토리는 지라 해보면 금방 찾을 수 있을 거예요.
캐시번(Cash Burn),Cash Burn,현금 소비 속도,투자 검토 전에 캐시번 관련 수치와 가정을 먼저 확인해야 해요.
캡테이블(Cap Table),Capitalization Table,지분 구조표,투자 검토 전에 캡테이블 관련 수치와 가정을 먼저 확인해야 해요.
커밋(Commit),Commit,코드 변경 사항 저장,작업 끝나면 커밋 관련 내용까지 정리해서 개발 채널에 공유해주세요.
커피챗(Coffee Chat),Coffee Chat,가벼운 업무 미팅,오늘 커피챗에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
컨버전(Conversion),Conversion,"사용자 행동(예: 클릭, 구매) 유도",이번 기능은 컨버전 데이터를 보고 나서 다음 액션을 결정합시다.
컨센서스(Consensus),Consensus,팀 내 합의,회의 전에 컨센서스부터 해두면 의사결정이 훨씬 빨라져요.
컨틴전시 플랜(Contingency Plan),Contingency Plan,비상 대응 계획,예상 못 한 상황에 대비해서 컨틴전시 플랜 관점으로 한 번 더 점검해봅시다.
컨펌충(Confirm + '-충'),Confirm(컨펌) + '-충',지나치게 컨펌(승인)만 받으려는 사람,사소한 것까지 다 물어보면 컨펌충처럼 보일 수 있으니 먼저 판단해봐요.
컨플릭트(Conflict),Conflict,코드 충돌,작업 끝나면 컨플릭트 관련 내용까지 정리해서 개발 채널에 공유해주세요.
컬링(Culling),Culling,필요 없는 작업을 제거하는 프로세스,이번 주에는 컬링 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
컴 (Communication),Communication,커뮤니케이션을 줄여서 부르는 말,이 건은 컴이 꼬이지 않게 슬랙 채널 하나로만 정리합시다.
퀵윈(Quick Win),Quick Win,단기적으로 빠르게 성과를 낼 수 있는 전략,상황 봐서 퀵윈도 열어두고 유연하게 판단합시다.
크리티컬 패스(Critical Path),Critical Path,프로젝트의 핵심 경로,지금은 크리티컬 패스를 줄이는 게 전체 일정 관리의 핵심이에요.
킥오프 (Kickoff),Kickoff Meeting,프로젝트 시작을 알리는 첫 미팅,오늘 킥오프에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
타겟 오디언스(Target Audience),Target Audience,제품의 주 사용층,이번 주에는 타겟 오디언스 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
타임라인(Timeline),Timeline,프로젝트 일정 및 계획,다음 분기 타임라인 먼저 맞춰야 일정이 밀리지 않아요.
타임박스(Time Box),Time Box,주어진 시간 내에 일을 끝내는 방식,지금은 타임박스를 줄이는 게 전체 일정 관리의 핵심이에요.
타임박스(Time Box),Time Box,일정 내에서 업무를 끝내는 방식,지금은 타임박스를 줄이는 게 전체 일정 관리의 핵심이에요.
탑다운(Top-Down),Top-Down,상위에서 결정하고 하향식으로 진행하는 방식,이번 주에는 탑다운 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
탭핑(Tapping),Tapping,"사전 테스트, 가능성 점검",본격적으로 실행하기 전에 탭핑 단계에서 문제를 먼저 확인해봐요.
턴어라운드(Turnaround),Turnaround,경영 개선 및 회생 전략,투자 검토 전에 턴어라운드 관련 수치와 가정을 먼저 확인해야 해요.
테스트 커버리지(Test Coverage),Test Coverage,코드가 테스트된 비율,개발 들어가기 전에 테스트 커버리지 기준부터 팀 내에서 통일해두는 게 좋아요.
테크스택(Tech Stack),Tech Stack,개발에 사용되는 기술 조합,개발 들어가기 전에 테크스택 기준부터 팀 내에서 통일해두는 게 좋아요.
토큰(Token),Token,인증 및 보안 관련 데이터,개발 들어가기 전에 토큰 기준부터 팀 내에서 통일해두는 게 좋아요.
패닉버튼(Panic Button),Panic Button,위기 상황에서 즉각적인 대응이 필요한 상황,예상 못 한 상황에 대비해서 패닉버튼 관점으로 한 번 더 점검해봅시다.
패러럴 워크(Parallel Work),Parallel Work,여러 업무를 동시에 진행하는 방식,지금 팀 패러럴 워크 상황을 보면 우선순위 조정이 먼저 필요해요.
퍼블리싱(Publishing),Publishing,제3자가 대신 서비스 운영 및 마케팅을 맡는 방식,다음 릴리즈 때는 이 기능을 퍼블리싱 포인트로 가져가면 좋겠어요.
펀딩감(Funding 가능성),Funding 가능성,투자 유치 가능성,이번 주에는 펀딩감 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
페이로드(Payload),Payload,API 요청에서 전송하는 데이터,개발 들어가기 전에 페이로드 기준부터 팀 내에서 통일해두는 게 좋아요.
페이퍼워크(Paperwork),Paperwork,"문서 작업, 보고서 작성",이번 주에는 페이퍼워크 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
포스트모템(Post-mortem),Post-mortem,프로젝트 종료 후 진행되는 회고 및 분석 미팅,프로젝트 끝나면 포스트모템까지 정리해야 다음에 같은 실수를 줄일 수 있어요.
포스트잇(Post-it),Post-it,가볍게 아이디어나 업무 메모 공유,이번 주에는 포스트잇 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
"풀리퀘(Pull Request, PR)",Pull Request,코드 변경 요청,작업 끝나면 풀리퀘 관련 내용까지 정리해서 개발 채널에 공유해주세요.
프로토타이핑(Prototyping),Prototyping,실제 작동하는 시제품 제작,우선 프로토타이핑 수준으로 빠르게 만들어보고 반응을 확인합시다.
프리리뷰(Pre-Review),Pre-Review,최종 검토 전 사전 피드백 과정,이번 주에는 프리리뷰 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
프리징(Freezing),Freezing,특정 단계에서 추가 변경을 금지하는 상태,이번 주에는 프리징 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
피드백 루프(Feedback Loop),Feedback Loop,지속적인 피드백을 주고받으며 개선하는 과정,프로젝트 끝나면 피드백 루프까지 정리해야 다음에 같은 실수를 줄일 수 있어요.
피보팅(Pivoting),Pivoting,사업 방향을 급격히 전환하는 전략,상황 봐서 피보팅도 열어두고 유연하게 판단합시다.
피저빌리티(Feasibility),Feasibility,실행 가능성,본격적으로 실행하기 전에 피저빌리티 단계에서 문제를 먼저 확인해봐요.
피처링(Featuring),Featuring,주요 기능 강조,다음 릴리즈 때는 이 기능을 피처링 포인트로 가져가면 좋겠어요.
픽스(Fix),Fix,"확정, 최종 결정",이 안건은 오늘 회의에서 픽스하고 바로 실행으로 넘길게요.
픽스(Fix),Fix,문제 해결 또는 최종 결정,이 안건은 오늘 회의에서 픽스하고 바로 실행으로 넘길게요.
픽토그램(Pictogram),Pictogram,의미를 전달하는 아이콘 디자인,이번 주에는 픽토그램 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
하드 데드라인(Hard Deadline),Hard Deadline,절대 연기할 수 없는 마감 기한,이 작업 하드 데드라인이 금요일이라 오늘 안에 초안까지는 끝내야 해요.
하이퍼 싱크 (Hyper Sync),Hyper + Sync,업무 진행을 위한 빠른 동기화,새 프로젝트 초반에는 하이퍼 싱크이 중요해서 소통 빈도를 더 높일 거예요.
핫픽스(Hotfix),Hotfix,긴급 버그 수정,작업 끝나면 핫픽스 관련 내용까지 정리해서 개발 채널에 공유해주세요.
회고미팅 (Retrospective),Retrospective Meeting,일정 주기마다 느낀 점을 공유하는 회의,오늘 회고미팅에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
히트맵(Heatmap),Heatmap,사용자의 클릭 패턴 분석,이번 기능은 히트맵 데이터를 보고 나서 다음 액션을 결정합시다.
AB 테스트(A/B Testing),A/B Testing,두 가지 디자인 버전 실험 후 비교,이번 기능은 AB 테스트 데이터를 보고 나서 다음 액션을 결정합시다.
AI 테스팅 (AI Testing),AI Testing,AI를 활용해 자동으로 QA(테스트)를 진행하는 방식,이번 주에는 AI 테스팅 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
API,Application Programming Interface,애플리케이션 간 데이터 교환 방식,프론트에서 호출할 API 엔드포인트 문서 먼저 정리해둘게요.
CAC(Customer Acquisition Cost),Customer Acquisition Cost,고객 한 명을 확보하는 데 드는 비용,투자 검토 전에 CAC 관련 수치와 가정을 먼저 확인해야 해요.
CI/CD,Continuous Integration / 지속적인 통합 및 배포,지속적인 통합 및 배포,이번 주 안에 CI/CD 파이프라인까지 붙여서 자동 배포되게 할게요.
DevOps,Development + Operations,개발과 운영이 결합된 개발 문화,이 팀은 DevOps 문화가 잘 잡혀 있어서 배포 속도가 빨라요.
IPO(Initial Public Offering),Initial Public Offering,"기업 공개, 상장",투자 검토 전에 IPO 관련 수치와 가정을 먼저 확인해야 해요.
J커브(J-Curve),J-Curve,급격한 성장 곡선,투자 검토 전에 J커브 관련 수치와 가정을 먼저 확인해야 해요.
LTV(Lifetime Value),Lifetime Value,한 고객이 기업에 가져다주는 총 수익,투자 검토 전에 LTV 관련 수치와 가정을 먼저 확인해야 해요.
MLOps,Machine Learning + DevOps Continuous Deployment,머신러닝 + DevOps의 결합,실험 모델을 운영 환경에 올리려면 MLOps 체계부터 정리해야 해요.
MVP 디자인(MVP Design),MVP Design,최소 기능 제품 디자인,우선 MVP 디자인 수준으로 빠르게 만들어보고 반응을 확인합시다.
MVP(Minimum Viable Product),Minimum Viable Product,최소 기능 제품,우선 MVP 수준으로 빠르게 만들어보고 반응을 확인합시다.
P&L(Profit and Loss),Profit and Loss,손익 계산,이번 분기 P&L 기준으로 어떤 사업이 가장 효율적인지 봅시다.
PMF(Product-Market Fit),Product-Market Fit,시장과 제품의 궁합,투자 검토 전에 PMF 관련 수치와 가정을 먼저 확인해야 해요.
ROI(Return on Investment),Return on Investment,투자 대비 수익률,투자 검토 전에 ROI 관련 수치와 가정을 먼저 확인해야 해요.
UI 키트(UI Kit),UI Kit,디자인 요소가 포함된 패키지,개발 들어가기 전에 UI 키트 기준부터 팀 내에서 통일해두는 게 좋아요.
UX 리서치(UX Research),UX Research,사용자 경험 조사,이번 기능은 UX 리서치 데이터를 보고 나서 다음 액션을 결정합시다.
